xAxis.x,xAxis.y,yAxis.x,yAxis.y,zAxis.x,zAxis.y
32.2,-62.4,32.2,-38.4,32.2,-84.0
32.4,-61.199997,32.4,-38.4,32.4,-83.200005
32.600002,-60.000004,32.600002,-38.800003,32.600002,-83.200005
32.8,-60.000004,32.8,-40.0,32.8,-83.200005
33.0,-60.000004,33.0,-41.600002,33.0,-84.0
33.199997,-60.000004,33.199997,-41.600002,33.199997,-84.0
33.399998,-60.000004,33.399998,-43.2,33.399998,-83.600006
33.6,-60.000004,33.6,-42.8,33.6,-83.200005
33.8,-58.399998,33.8,-42.399998,33.8,-84.0
34.0,-56.800003,34.0,-42.399998,34.0,-84.0
34.2,-56.800003,34.2,-42.399998,34.2,-84.0
34.4,-55.199997,34.4,-43.6,34.4,-83.200005
34.6,-54.000004,34.6,-46.0,34.6,-82.0
34.8,-52.8,34.8,-47.600002,34.8,-82.0
35.0,-51.2,35.0,-48.4,35.0,-80.4
35.2,-51.2,35.2,-48.4,35.2,-80.4
35.4,-48.8,35.4,-49.6,35.4,-79.2
35.600002,-46.8,35.600002,-48.4,35.600002,-78.799995
35.8,-46.0,35.8,-47.2,35.8,-77.600006
36.0,-47.600002,36.0,-48.0,36.0,-78.4
36.199997,-47.600002,36.199997,-48.0,36.199997,-78.4
36.399998,-48.4,36.399998,-50.0,36.399998,-78.4
36.6,-48.4,36.6,-52.0,36.6,-76.4
36.8,-47.2,36.8,-52.399998,36.8,-73.6
37.0,-47.600002,37.0,-53.2,37.0,-72.399994
37.2,-46.8,37.2,-54.8,37.2,-72.799995
37.4,-46.8,37.4,-54.8,37.4,-72.799995
37.6,-44.4,37.6,-53.600002,37.6,-72.0
37.8,-44.0,37.8,-52.0,37.8,-70.0
38.0,-46.0,38.0,-53.2,38.0,-69.2
38.2,-48.8,38.2,-55.199997,38.2,-70.0
38.4,-48.8,38.4,-55.199997,38.4,-70.0
38.600002,-49.2,38.600002,-56.0,38.600002,-68.8
38.800003,-49.6,38.800003,-55.6,38.800003,-65.6
39.0,-52.0,39.0,-54.8,39.0,-63.200005
39.2,-54.000004,39.2,-57.200005,39.2,-62.800003
39.399998,-54.000004,39.399998,-57.200005,39.399998,-62.800003
39.6,-53.600002,39.6,-58.8,39.6,-62.0
39.8,-56.4,39.8,-55.199997,39.8,-60.399998
40.0,-58.8,40.0,-55.199997,40.0,-59.2
40.2,-60.8,40.2,-55.6,40.2,-56.800003
40.4,-60.8,40.4,-55.6,40.4,-56.800003
